Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
A Psalm for the Wild-Built,Becky Chambers,"",9781250236210,hardcover,read,2024/03/31,2024/03/31,2024/03/27-2024/03/31,1,"lighthearted, relaxing, reflective, hopeful",slow,Character,"",Yes,Yes,No,4.5,"","","","",No
The Ministry of Time,Kaliane Bradley,"",9781399726344,hardcover,read,2024/12/29,2025/01/27,2025/01/21-2025/01/27,1,"challenging, adventurous",,"","","","","",4.0,<div>Ahk! Why is this book so emotional! Why are the characters so complex! It hurt me I loved it&nbsp;</div>,"","","",No
I'll Give You the Sun,Jandy Nelson,"",9780803734968,hardcover,read,2021/03/16,"","",1,"",,,,,,,5.0,,"",,"",No
Radio Silence,Alice Oseman,Nina Lubiejewska (Translator),9788375155389,paperback,read,2021/03/17,"","",1,"",,,,,,,3.0,,"",,"",No
Cloud Cuckoo Land,Anthony Doerr,"",9781982168438,hardcover,to-read,2024/06/13,"","",0,"",,,,,,,,,"",,"",No
Us Against You,Fredrik Backman,Neil Smith (Translator),9781501160790,hardcover,to-read,2023/01/13,"","",0,"",,,,,,,,,"",,"",No
The Name of the Wind,Patrick Rothfuss,"",9780756404079,hardcover,to-read,2023/07/24,"","",0,"",,,,,,,,,"",,"",No
The Bee Sting,Paul Murray,"",9780374600303,hardcover,to-read,2023/12/28,"","",0,"",,,,,,,,,"",,"",No
The Inheritance Games,Jennifer Lynn Barnes,"",9781368052405,hardcover,read,2021/04/30,"","",1,"",,,,,,,2.0,,"",,"",No
Your Head is a Houseboat: A Chaotic Guide to Mental Clarity,Campbell Walker,"",9781743797495,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
The Empress of Salt and Fortune,Nghi Vo,"",9781250750297,digital,read,2024/07/12,2024/07/12,2024/07/12-2024/07/12,1,"",,,,,,,,,"",,"",No
Reality is Broken: Why Games Make Us Better and How They Can Change the World,Jane McGonigal,"",9780224089258,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
Beloved,Toni Morrison,"",9781400033416,paperback,to-read,2023/12/03,"","",0,"",,,,,,,,,"",,"",No
Fearing the Black Body: The Racial Origins of Fat Phobia,Sabrina Strings,"",9781479886753,paperback,to-read,2024/04/11,"","",0,"",,,,,,,,,"",,"",No
Address Unknown,Kathrine Kressmann Taylor,"",9780743412711,paperback,to-read,2022/11/14,"","",0,"",,,,,,,,,"",,"",No
Art as Experience,John Dewey,"",9780399531972,paperback,to-read,2023/01/31,"","",0,"",,,,,,,,,"",,"",No
Girls with Bad Reputations,Xio Axelrod,"",9781728261997,paperback,to-read,2024/01/06,"","",0,"",,,,,,,,,"",,"",No
"Phosphorescence: On Awe, Wonder and Things That Sustain You When the World Goes Dark",Julia Baird,"",9781460710890,digital,to-read,2021/09/29,"","",0,"",,,,,,,,,"",,"",No
Check & Mate,Ali Hazelwood,"",9780593619919,paperback,read,2024/12/13,2024/12/13,2024/12/12-2024/12/13,1,"lighthearted, relaxing, funny",fast,"","","","","",5.0,"","","","",No
Laura Dean Keeps Breaking Up with Me,Mariko Tamaki,Rosemary Valero-O'Connell (Illustrator),9781250312846,hardcover,read,2021/03/16,"","",1,"",,,,,,,4.0,,"",,"",No
The Goblin Emperor,Katherine Addison,"",9780765326997,hardcover,read,2023/12/30,2023/12/30,2023/12/25-2023/12/30,1,"",,,,,,,,,"",,"",No
Funny You Should Ask,Elissa Sussman,"",9780593357323,paperback,read,2022/05/08,2023/03/09,2023/03/06-2023/03/09,1,"",,,,,,,,,"",,"",No
All the Lovers in the Night,Mieko Kawakami,"Sam Bett (Translator), David Boyd (Translator)",9781609456993,hardcover,to-read,2023/08/29,"","",0,"",,,,,,,,,"",,"",No
The Gift,Lewis Hyde,"",9780394715193,paperback,to-read,2025/05/13,"","",0,"",,,,,,,,,"",,"",No
"Storyworthy: Engage, Teach, Persuade, and Change Your Life Through the Power of Storytelling",Matthew Dicks,"",9781608685486,paperback,to-read,2024/12/01,"","",0,"",,,,,,,,,"",,"",No
Animal Farm,George Orwell,Téa Obreht (Contributor),9780451526342,paperback,read,2024/06/29,2024/06/29,2024/06/29-2024/06/29,1,"",,,,,,,,,"",,"",No
The Handmaid's Tale,Margaret Atwood,"",9789869821469,paperback,read,2021/03/16,"","",1,"",,,,,,,5.0,,"",,"",No
Fireborne,Rosaria Munda,"",9780525518211,hardcover,read,2023/10/30,2023/10/30,2023/10/27-2023/10/30,1,"dark, sad, emotional, challenging",medium,A mix,Yes,Yes,No,Yes,4.0,"<div>As a young adult, the realization that we won’t be able to be much better than those before us felt&nbsp;too real this book made me SAD but it was fun</div>","","","",No
The Secret History,Donna Tartt,"",9781400031702,paperback,read,2023/08/29,2024/01/17,2024/01/13-2024/01/17,1,"dark, tense, mysterious",medium,A mix,No,No,No,Yes,4.5,"","","","",No
The Second Sex,Simone de Beauvoir,"Constance Borde (Translator), Sheila Malovany-Chevallier (Translator)",9780679724513,paperback,to-read,2022/10/15,"","",0,"",,,,,,,,,"",,"",No
The Exiled Queen,Cinda Williams Chima,"",9781423118244,hardcover,read,2021/12/25,"","",1,"",,,,,,,,,"",,"",No
The Rise and Fall of D.O.D.O.,"Nicole Galland, Neal Stephenson","",9780062409164,hardcover,read,2024/07/31,2024/07/31,2024/07/17-2024/07/31,1,adventurous,medium,Plot,No,Yes,Yes,No,4.0,"","","","",No
Martyr!,Kaveh Akbar,"",9780593537619,hardcover,to-read,2025/03/26,"","",0,"",,,,,,,,,"",,"",No
I Will Not Die Alone,Dera White,Joe Bennett (Illustrator),9781250760432,hardcover,read,2021/12/31,2021/12/31,2021/12/31,2,"",,,,,,,,,"",,"",No
A Time To Kill,John Grisham,"",9780099201212,paperback,to-read,2022/05/03,"","",0,"",,,,,,,,,"",,"",No
Hell Followed with Us,Andrew Joseph White,"",9781682633243,hardcover,read,2022/06/26,2023/01/20,2023/01/20-2023/01/20,1,"",,,,,,,,,"",,"",No
Writers & Lovers,Lily King,"",9780802148537,hardcover,read,2024/12/10,2024/12/10,2024/12/05-2024/12/10,1,inspiring,medium,Character,Yes,Yes,"","",5.0,<div>I keep highlight sentences because they felt like thoughts I’d had before!!</div>,"","","",No
How to Tell Toledo from the Night Sky,Lydia Netzer,"",,,"","","","","","","","","","","","","","","","",maybe,No
